Pest	Species	Lifestage	SLS	Assessed	Temperature	Efnom	Efpc	EF_CT	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1	0.98	1.96	9.1	2	2	12	139			151	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1.5	1.38	2.76	12.2	2	2	29	172			201	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2	1.88	3.76	17	2	2	83	73			156	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2.5	2.2	4.4	20.6	2	2	178	6			184	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	Control	0	0	0	2	3		112	0	0	112	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0	0	0	19.2	2	3		98	0	0	98	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0.5	0.52	1.04	4.4	2	3		42	51	3	96	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1	0.92	1.84	7.9	2	3		2	96	1	99	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1.5	1.05	2.1	8.6	2	3		8	88	2	98	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2	1.72	3.44	13.6	2	3		8	88	2	98	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2.5	2.3	4.6	18.6	2	3		3	101	2	106	
WAA	Wooly apple aphid	1*	WAA	1	5	Control	0	0	0	2	3		36	26	0	62	
WAA	Wooly apple aphid	2*	WAA	1	5	Control	0	0	0	2	3		39	28	0	67	
WAA	Wooly apple aphid	3*	WAA	1	5	Control	0	0	0	2	3		12	25	0	37	
WAA	Wooly apple aphid	4*	WAA	1	5	Control	0	0	0	2	3		25	13	2	40	
WAA	Wooly apple aphid	Adult	WAA	1	5	Control	0	0	0	2	3		17	0	1	18	
WAA	Wooly apple aphid	1*	WAA	1	5	0	0	0	19.2	2	3		21	12	0	33	
WAA	Wooly apple aphid	2*	WAA	1	5	0	0	0	19.2	2	3		13	2	0	15	
WAA	Wooly apple aphid	3*	WAA	1	5	0	0	0	19.2	2	3		6	2	0	8	
WAA	Wooly apple aphid	4*	WAA	1	5	0	0	0	19.2	2	3		1	0	0	1	
WAA	Wooly apple aphid	Adult	WAA	1	5	0	0	0	19.2	2	3		0	3	0	3	
WAA	Wooly apple aphid	1*	WAA	1	5	0.1	0.13	0.26	1	2	3		0	41	0	41	
WAA	Wooly apple aphid	2*	WAA	1	5	0.1	0.13	0.26	1	2	3		0	65	0	65	
WAA	Wooly apple aphid	3*	WAA	1	5	0.1	0.13	0.26	1	2	3		0	14	0	14	
WAA	Wooly apple aphid	4*	WAA	1	5	0.1	0.13	0.26	1	2	3		0	14	1	15	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.1	0.13	0.26	1	2	3		0	2	0	2	
WAA	Wooly apple aphid	1*	WAA	1	5	0.2	0.2	0.4	1.88	2	3		0	54	0	54	
WAA	Wooly apple aphid	2*	WAA	1	5	0.2	0.2	0.4	1.88	2	3		0	45	0	45	
WAA	Wooly apple aphid	3*	WAA	1	5	0.2	0.2	0.4	1.88	2	3		0	41	0	41	
WAA	Wooly apple aphid	4*	WAA	1	5	0.2	0.2	0.4	1.88	2	3		0	8	0	8	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.2	0.2	0.4	1.88	2	3		0	1	0	1	
WAA	Wooly apple aphid	1*	WAA	1	5	0.3	0.28	0.56	2.3	2	3		0	45	0	45	
WAA	Wooly apple aphid	2*	WAA	1	5	0.3	0.28	0.56	2.3	2	3		0	61	0	61	
WAA	Wooly apple aphid	3*	WAA	1	5	0.3	0.28	0.56	2.3	2	3		0	10	0	10	
WAA	Wooly apple aphid	4*	WAA	1	5	0.3	0.28	0.56	2.3	2	3		0	18	0	18	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.3	0.28	0.56	2.3	2	3		0	4	0	4	
WAA	Wooly apple aphid	1*	WAA	1	5	0.5	0.52	1.04	4.4	2	3		0	25	0	25	
WAA	Wooly apple aphid	2*	WAA	1	5	0.5	0.52	1.04	4.4	2	3		1	19	0	20	
WAA	Wooly apple aphid	3*	WAA	1	5	0.5	0.52	1.04	4.4	2	3		0	14	0	14	
WAA	Wooly apple aphid	4*	WAA	1	5	0.5	0.52	1.04	4.4	2	3		0	12	0	12	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.5	0.52	1.04	4.4	2	3		0	2	0	2	
TSM	Two spotted mite	Egg	TSM Egg	7	5	Control	0	0	0	2	3	7	81			88	
TSM	Two spotted mite	Egg	TSM Egg	7	5	0	0	0	19.2	2	3	22	82			104	
TSM	Two spotted mite	Egg	TSM Egg	7	5	1	0.92	1.84	7.9	2	3	12	4			16	
TSM	Two spotted mite	Egg	TSM Egg	7	5	1.5	1.05	2.1	8.6	2	3	116	6			122	
TSM	Two spotted mite	Egg	TSM Egg	7	5	2	1.72	3.44	13.6	2	3	109	2			111	
