Pest	Species	Lifestage	SLS	Assessed	Temperature	Efnom	Efpc	EF_CT	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
TSM	Two spotted mite	Egg	TSM Egg	7	5	2	1.72	3.44	13.6	2	3	109	2			111
TSM	Two spotted mite	Egg	TSM Egg	7	5	2.5	2.3	4.6	18.6	2	3	30	0			30
OS	Oleander scale	1*	OS	7	5	Control	0	0	0	2	3		60	44	0	104
OS	Oleander scale	2*	OS	7	5	Control	0	0	0	2	3		51	50	0	101
OS	Oleander scale	1*	OS	7	5	0	0	0	19.2	2	3		30	83	0	113
OS	Oleander scale	1*	OS	7	5	0.1	0.13	0.26	1	2	3		49	53	0	102
OS	Oleander scale	1*	OS	7	5	0.2	0.2	0.4	1.88	2	3		0	101	0	101
OS	Oleander scale	2*	OS	7	5	0.2	0.2	0.4	1.88	2	3		1	6	0	7
OS	Oleander scale	1*	OS	7	5	0.3	0.28	0.56	2.3	2	3		0	109	0	109
OS	Oleander scale	1*	OS	7	5	0.5	0.52	1.04	4.4	2	3		0	108	0	108
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	Control	0	0	0	2	3	17	120			137
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0	0	0	19.2	2	3	18	90			108
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0.5	0.52	1.04	4.4	2	3	27	138			165
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1	0.92	1.84	7.9	2	3	14	152			166
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1.5	1.05	2.1	8.6	2	3	41	50			91
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2	1.72	3.44	13.6	2	3	8	115			123
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2.5	2.3	4.6	18.6	2	3	117	27			144
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	Control	0	0	0	2	1		95	0	0	95
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0	0	0	20.2	2	1		117	0	0	117
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0.5	0.42	0.84	4.25	2	1		23	76	5	104
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1	0.9	1.8	8.3	2	1		2	92	2	96
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1.5	1.42	2.84	12.8	2	1		5	99	8	112
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	2	1.84	3.68	16.4	2	1		4	103	0	107
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	2.5	2.18	4.36	20	2	1		2	93	1	96
OS	Oleander scale	1*	OS	7	10	Control	0	0	0	2	1		6	40	57	103
OS	Oleander scale	2*	OS	7	10	Control	0	0	0	2	1		4	46	50	100
OS	Oleander scale	3*	OS	7	10	Control	0	0	0	2	1		91	1	2	94
OS	Oleander scale	3* mature	OS	7	10	Control	0	0	0	2	1		97	1	2	100
OS	Oleander scale	1*	OS	7	10	0	0	0	20.2	2	1		91	20	5	116
OS	Oleander scale	1*	OS	7	10	0.1	0.15	0.3	1.16	2	1		17	31	54	102
OS	Oleander scale	1*	OS	7	10	0.2	0.22	0.44	1.85	2	1		0	102	0	102
OS	Oleander scale	1*	OS	7	10	0.3	0.25	0.5	2.75	2	1		0	100	0	100
OS	Oleander scale	2*	OS	7	10	0.3	0.25	0.5	2.75	2	1		0	100	0	100
OS	Oleander scale	1*	OS	7	10	0.5	0.42	0.84	4.25	2	1		0	102	0	102
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	Control	0	0	0	2	1	19	232			251
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0	0	0	20.2	2	1	30	188			218
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0.5	0.42	0.84	4.25	2	1	21	206			227
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1	0.9	1.8	8.3	2	1	31	188			219
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1.5	1.42	2.84	12.8	2	1	95	151			246
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	2.5	2.18	4.36	20	2	1	196	24			220
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	Control	0	0	0	2	2		96	0	0	96
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0	0	0	18	2	2		123	0	0	123
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0.5	0.45	0.9	4.5	2	2		25	76	10	111
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1	0.89	1.78	8.8	2	2		4	92	2	98
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1.5	1.4	2.8	13	2	2		7	102	5	114
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	2	1.84	3.68	16.8	2	2		0	97	0	97
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	2.5	2.14	4.28	20	2	2		2	98	1	101
OS	Oleander scale	1*	OS	7	10	Control	0	0	0	2	2		103	14	6	123
OS	Oleander scale	1*	OS	7	10	0	0	0	18	2	2		3	90	14	107
OS	Oleander scale	1*	OS	7	10	0.1	0.18	0.36	1.18	2	2		0	100	0	100
OS	Oleander scale	1*	OS	7	10	0.2	0.23	0.46	1.8	2	2		0	104	0	104
OS	Oleander scale	2*	OS	7	10	0.2	0.23	0.46	1.8	2	2		0	4	0	4
OS	Oleander scale	1*	OS	7	10	0.3	0.26	0.52	2.9	2	2		0	102	0	102
OS	Oleander scale	2*	OS	7	10	0.3	0.26	0.52	2.9	2	2		0	2	0	2
OS	Oleander scale	1*	OS	7	10	0.5	0.45	0.9	4.5	2	2		0	101	0	101
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	Control	0	0	0	2	2	46	114			160
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0	0	0	18	2	2	7	166			173
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0.5	0.42	0.84	4.25	2	2	46	166			212
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1	0.9	1.8	8.3	2	2	17	195			212
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1.5	1.42	2.84	12.8	2	2	26	150			176
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	2	1.84	3.68	16.4	2	2	104	118			222
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	2.5	2.18	4.36	20	2	2	301	68			369
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	Control	0	0	0	2	3		85	2	0	87
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0	0	0	19.6	2	3		114	0	0	114
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0.5	0.48	0.96	4.55	2	3		24	68	19	111
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1	0.76	1.52	6.66	2	3		5	88	5	98
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1.5	1.5	3	11.8	2	3		2	104	0	106
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	2	1.84	3.68	15.2	2	3		4	107	1	112
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	2.5	2.4	4.8	20.4	2	3		2	110	0	112
OS	Oleander scale	1*	OS	7	10	Control	0	0	0	2	3		67	6	30	103
OS	Oleander scale	1*	OS	7	10	0	0	0	19.6	2	3		49	45	23	117
OS	Oleander scale	1*	OS	7	10	0.1	0.14	0.28	0.95	2	3		0	96	17	113
OS	Oleander scale	crawler	OS	7	10	0.2	0.17	0.34	1.38	2	3		0	101	0	101
OS	Oleander scale	1*	OS	7	10	0.2	0.17	0.34	1.38	2	3		0	101	0	101
OS	Oleander scale	2*	OS	7	10	0.2	0.17	0.34	1.38	2	3		1	106	2	109
OS	Oleander scale	3*	OS	7	10	0.2	0.17	0.34	1.38	2	3		3	73	1	77
OS	Oleander scale	3* mature	OS	7	10	0.2	0.17	0.34	1.38	2	3		0	1	0	1
OS	Oleander scale	1*	OS	7	10	0.3	0.34	0.68	2.8	2	3		0	100	0	100
OS	Oleander scale	crawler	OS	7	10	0.5	0.48	0.96	4.55	2	3		0	7	0	7
OS	Oleander scale	1*	OS	7	10	0.5	0.48	0.96	4.55	2	3		0	104	0	104
OS	Oleander scale	2*	OS	7	10	0.5	0.48	0.96	4.55	2	3		0	101	0	101
OS	Oleander scale	3*	OS	7	10	0.5	0.48	0.96	4.55	2	3		0	40	0	40
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	Control	0	0	0	2	3	15	198			213
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0	0	0	19.6	2	3	12	299			311
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0.5	0.48	0.96	4.55	2	3	44	195			239
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1	0.76	1.52	6.66	2	3	41	108			149
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1.5	1.5	3	11.8	2	3	178	81			259
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	2	1.84	3.68	15.2	2	3	134	89			223
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	2.5	2.4	4.8	20.4	2	3	158	7			165
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	Control	0	0	0	2	1		102	0	0	102
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0	0	0	22	2	1		108	0	0	108
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0.5	0.65	1.3	4.15	2	1		12	79	6	97
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1	1.16	2.32	8.6	2	1		0	101	5	106
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1.5	1.8	3.6	13.6	2	1		1	103	2	106
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	2	2.2	4.4	17.6	2	1		0	102	3	105
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	2.5	2.55	5.1	22	2	1		0	105	0	105
WAA	Wooly apple aphid	1*	WAA	1	15	Control	0	0	0	2	1		44	2	0	46
WAA	Wooly apple aphid	2*	WAA	1	15	Control	0	0	0	2	1		5	0	0	5
WAA	Wooly apple aphid	3*	WAA	1	15	Control	0	0	0	2	1		4	0	0	4
WAA	Wooly apple aphid	4*	WAA	1	15	Control	0	0	0	2	1		7	0	0	7
WAA	Wooly apple aphid	Adult	WAA	1	15	Control	0	0	0	2	1		2	0	0	2
WAA	Wooly apple aphid	1*	WAA	1	15	0	0	0	22	2	1		37	16	0	53
WAA	Wooly apple aphid	2*	WAA	1	15	0	0	0	22	2	1		2	3	0	5
WAA	Wooly apple aphid	3*	WAA	1	15	0	0	0	22	2	1		10	1	0	11
WAA	Wooly apple aphid	4*	WAA	1	15	0	0	0	22	2	1		9	2	0	11
WAA	Wooly apple aphid	Adult	WAA	1	15	0	0	0	22	2	1		4	1	0	5
WAA	Wooly apple aphid	1*	WAA	1	15	0.1	0.3	0.6	1.2	2	1		0	37	0	37
WAA	Wooly apple aphid	2*	WAA	1	15	0.1	0.3	0.6	1.2	2	1		0	38	0	38
WAA	Wooly apple aphid	3*	WAA	1	15	0.1	0.3	0.6	1.2	2	1		0	43	0	43
WAA	Wooly apple aphid	4*	WAA	1	15	0.1	0.3	0.6	1.2	2	1		0	16	0	16
WAA	Wooly apple aphid	Adult	WAA	1	15	0.1	0.3	0.6	1.2	2	1		0	1	0	1
WAA	Wooly apple aphid	1*	WAA	1	15	0.2	0.37	0.74	1.92	2	1		0	32	0	32
WAA	Wooly apple aphid	2*	WAA	1	15	0.2	0.37	0.74	1.92	2	1		0	69	0	69
WAA	Wooly apple aphid	3*	WAA	1	15	0.2	0.37	0.74	1.92	2	1		0	22	0	22
WAA	Wooly apple aphid	4*	WAA	1	15	0.2	0.37	0.74	1.92	2	1		0	11	0	11
WAA	Wooly apple aphid	1*	WAA	1	15	0.3	0.52	1.04	3.35	2	1		0	24	0	24
WAA	Wooly apple aphid	2*	WAA	1	15	0.3	0.52	1.04	3.35	2	1		0	34	0	34
WAA	Wooly apple aphid	3*	WAA	1	15	0.3	0.52	1.04	3.35	2	1		0	37	0	37
WAA	Wooly apple aphid	4*	WAA	1	15	0.3	0.52	1.04	3.35	2	1		0	11	0	11
WAA	Wooly apple aphid	Adult	WAA	1	15	0.3	0.52	1.04	3.35	2	1		0	3	0	3
WAA	Wooly apple aphid	1*	WAA	1	15	0.5	0.65	1.3	4.15	2	1		0	38	0	38
WAA	Wooly apple aphid	2*	WAA	1	15	0.5	0.65	1.3	4.15	2	1		0	12	0	12
WAA	Wooly apple aphid	3*	WAA	1	15	0.5	0.65	1.3	4.15	2	1		0	7	0	7
WAA	Wooly apple aphid	4*	WAA	1	15	0.5	0.65	1.3	4.15	2	1		0	1	0	1
WAA	Wooly apple aphid	Adult	WAA	1	15	0.5	0.65	1.3	4.15	2	1		0	2	0	2
TSM	Two spotted mite	Egg	TSM Egg	7	15	Control	0	0	0	2	1	4	19			23
TSM	Two spotted mite	Egg	TSM Egg	7	15	0	0	0	22	2	1	3	10			13
TSM	Two spotted mite	Egg	TSM Egg	7	15	0.5	0.65	1.3	4.15	2	1	28	36			64
TSM	Two spotted mite	Egg	TSM Egg	7	15	1	1.16	2.32	8.6	2	1	69	12			81
TSM	Two spotted mite	Egg	TSM Egg	7	15	1.5	1.8	3.6	13.6	2	1	113	10			123
TSM	Two spotted mite	Egg	TSM Egg	7	15	2	2.2	4.4	17.6	2	1	35	2			37
TSM	Two spotted mite	Egg	TSM Egg	7	15	2.5	2.55	5.1	22	2	1	65	0			65
OS	Oleander scale	crawler	OS	7	15	Control	0	0	0	2	1		9	105	0	114
OS	Oleander scale	1*	OS	7	15	Control	0	0	0	2	1		60	45	0	105
OS	Oleander scale	2*	OS	7	15	Control	0	0	0	2	1		65	42	0	107
OS	Oleander scale	3*	OS	7	15	Control	0	0	0	2	1		104	2	0	106
OS	Oleander scale	3* mature	OS	7	15	Control	0	0	0	2	1		41	3	0	44
OS	Oleander scale	crawler	OS	7	15	0	0	0	22	2	1		12	95	0	107
OS	Oleander scale	1*	OS	7	15	0	0	0	22	2	1		9	93	0	102
OS	Oleander scale	2*	OS	7	15	0	0	0	22	2	1		24	84	0	108
OS	Oleander scale	3*	OS	7	15	0	0	0	22	2	1		103	0	0	103
OS	Oleander scale	3* mature	OS	7	15	0	0	0	22	2	1		37	1	0	38
OS	Oleander scale	crawler	OS	7	15	0.1	0.3	0.6	1.2	2	1		2	98	0	100
OS	Oleander scale	1*	OS	7	15	0.1	0.3	0.6	1.2	2	1		0	109	0	109
OS	Oleander scale	2*	OS	7	15	0.1	0.3	0.6	1.2	2	1		14	92	4	110
OS	Oleander scale	3*	OS	7	15	0.1	0.3	0.6	1.2	2	1		101	2	2	105
OS	Oleander scale	3* mature	OS	7	15	0.1	0.3	0.6	1.2	2	1		23	1	0	24
OS	Oleander scale	crawler	OS	7	15	0.2	0.37	0.74	1.92	2	1		0	100	0	100
OS	Oleander scale	1*	OS	7	15	0.2	0.37	0.74	1.92	2	1		0	101	0	101
OS	Oleander scale	2*	OS	7	15	0.2	0.37	0.74	1.92	2	1		0	103	3	106
OS	Oleander scale	3*	OS	7	15	0.2	0.37	0.74	1.92	2	1		9	90	13	112
OS	Oleander scale	3* mature	OS	7	15	0.2	0.37	0.74	1.92	2	1		2	36	11	49
OS	Oleander scale	crawler	OS	7	15	0.3	0.52	1.04	3.35	2	1		0	101	0	101
OS	Oleander scale	1*	OS	7	15	0.3	0.52	1.04	3.35	2	1		0	101	0	101
OS	Oleander scale	2*	OS	7	15	0.3	0.52	1.04	3.35	2	1		0	108	0	108
OS	Oleander scale	3*	OS	7	15	0.3	0.52	1.04	3.35	2	1		0	107	0	107
OS	Oleander scale	3* mature	OS	7	15	0.3	0.52	1.04	3.35	2	1		0	103	0	103
OS	Oleander scale	crawler	OS	7	15	0.5	0.65	1.3	4.15	2	1		0	100	0	100
OS	Oleander scale	1*	OS	7	15	0.5	0.65	1.3	4.15	2	1		0	110	0	110
OS	Oleander scale	2*	OS	7	15	0.5	0.65	1.3	4.15	2	1		0	102	0	102
OS	Oleander scale	3*	OS	7	15	0.5	0.65	1.3	4.15	2	1		0	24	0	24
OS	Oleander scale	3* mature	OS	7	15	0.5	0.65	1.3	4.15	2	1		0	3	0	3
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	Control	0	0	0	2	1	77	203			280
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0	0	0	22	2	1	81	265			346
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0.5	0.65	1.3	4.15	2	1	103	234			337
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	1	1.16	2.32	8.6	2	1	183	282			465
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	1.5	1.8	3.6	13.6	2	1	402	111			513
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	2	2.2	4.4	17.6	2	1	286	11			297
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	2.5	2.55	5.1	22	2	1	390	4			394
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	Control	0	0	0	2	2		94	1	0	95
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0	0	0	18.6	2	2		99	0	0	99
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0.5	0.58	1.16	4.35	2	2		6	80	11	97
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1	1.08	2.16	8.3	2	2		3	93	5	101
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1.5	1.62	3.24	12.4	2	2		0	124	1	125
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	2	2.06	4.12	16.8	2	2		2	103	2	107
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	2.5	2.5	5	21	2	2		0	119	0	119
WAA	Wooly apple aphid	1*	WAA	1	15	Control	0	0	0	2	2		91	34	0	125
WAA	Wooly apple aphid	2*	WAA	1	15	Control	0	0	0	2	2		33	4	0	37
WAA	Wooly apple aphid	3*	WAA	1	15	Control	0	0	0	2	2		14	3	0	17
WAA	Wooly apple aphid	4*	WAA	1	15	Control	0	0	0	2	2		23	6	0	29
WAA	Wooly apple aphid	1*	WAA	1	15	0	0	0	18.6	2	2		42	5	0	47
WAA	Wooly apple aphid	2*	WAA	1	15	0	0	0	18.6	2	2		5	1	0	6
WAA	Wooly apple aphid	3*	WAA	1	15	0	0	0	18.6	2	2		17	2	0	19
WAA	Wooly apple aphid	4*	WAA	1	15	0	0	0	18.6	2	2		6	0	0	6
WAA	Wooly apple aphid	1*	WAA	1	15	0.1	0.32	0.64	1.26	2	2		0	46	0	46
WAA	Wooly apple aphid	2*	WAA	1	15	0.1	0.32	0.64	1.26	2	2		0	79	0	79
WAA	Wooly apple aphid	3*	WAA	1	15	0.1	0.32	0.64	1.26	2	2		0	40	1	41
WAA	Wooly apple aphid	4*	WAA	1	15	0.1	0.32	0.64	1.26	2	2		0	6	0	6
WAA	Wooly apple aphid	Adult	WAA	1	15	0.1	0.32	0.64	1.26	2	2		0	2	0	2
WAA	Wooly apple aphid	1*	WAA	1	15	0.2	0.38	0.76	1.88	2	2		0	78	0	78
WAA	Wooly apple aphid	2*	WAA	1	15	0.2	0.38	0.76	1.88	2	2		0	36	0	36
WAA	Wooly apple aphid	3*	WAA	1	15	0.2	0.38	0.76	1.88	2	2		0	12	0	12
WAA	Wooly apple aphid	4*	WAA	1	15	0.2	0.38	0.76	1.88	2	2		0	2	0	2
WAA	Wooly apple aphid	Adult	WAA	1	15	0.2	0.38	0.76	1.88	2	2		0	1	0	1
WAA	Wooly apple aphid	1*	WAA	1	15	0.3	0.4	0.8	2.5	2	2		0	50	0	50
WAA	Wooly apple aphid	2*	WAA	1	15	0.3	0.4	0.8	2.5	2	2		0	27	0	27
WAA	Wooly apple aphid	3*	WAA	1	15	0.3	0.4	0.8	2.5	2	2		0	18	0	18
WAA	Wooly apple aphid	4*	WAA	1	15	0.3	0.4	0.8	2.5	2	2		0	3	0	3
WAA	Wooly apple aphid	1*	WAA	1	15	0.5	0.58	1.16	4.35	2	2		0	101	0	101
WAA	Wooly apple aphid	2*	WAA	1	15	0.5	0.58	1.16	4.35	2	2		0	16	0	16
WAA	Wooly apple aphid	3*	WAA	1	15	0.5	0.58	1.16	4.35	2	2		0	20	0	20
WAA	Wooly apple aphid	4*	WAA	1	15	0.5	0.58	1.16	4.35	2	2		0	17	0	17
TSM	Two spotted mite	Egg	TSM Egg	7	15	Control	0	0	0	2	2	2	7			9
TSM	Two spotted mite	Egg	TSM Egg	7	15	0	0	0	18.6	2	2	5	16			21
TSM	Two spotted mite	Egg	TSM Egg	7	15	0.5	0.58	1.16	4.35	2	2	10	1			11
TSM	Two spotted mite	Egg	TSM Egg	7	15	1	1.08	2.16	8.3	2	2	81	9			90
TSM	Two spotted mite	Egg	TSM Egg	7	15	1.5	1.62	3.24	12.4	2	2	96	2			98
TSM	Two spotted mite	Egg	TSM Egg	7	15	2	2.06	4.12	16.8	2	2	128	26			154
TSM	Two spotted mite	Egg	TSM Egg	7	15	2.5	2.5	5	21	2	2	83	10			93
OS	Oleander scale	crawler	OS	7	15	Control	0	0	0	2	2		70	40	0	110
OS	Oleander scale	1*	OS	7	15	Control	0	0	0	2	2		84	20	0	104
OS	Oleander scale	2*	OS	7	15	Control	0	0	0	2	2		79	24	4	107
OS	Oleander scale	3*	OS	7	15	Control	0	0	0	2	2		98	3	2	103
OS	Oleander scale	3* mature	OS	7	15	Control	0	0	0	2	2		20	0	0	20
OS	Oleander scale	crawler	OS	7	15	0	0	0	18.6	2	2		95	5	0	100
OS	Oleander scale	1*	OS	7	15	0	0	0	18.6	2	2		59	43	0	102
OS	Oleander scale	2*	OS	7	15	0	0	0	18.6	2	2		94	7	0	101
OS	Oleander scale	3*	OS	7	15	0	0	0	18.6	2	2		99	1	0	100
OS	Oleander scale	3* mature	OS	7	15	0	0	0	18.6	2	2		15	0	0	15
OS	Oleander scale	crawler	OS	7	15	0.1	0.32	0.64	1.26	2	2		12	91	0	103
OS	Oleander scale	1*	OS	7	15	0.1	0.32	0.64	1.26	2	2		3	96	0	99
OS	Oleander scale	2*	OS	7	15	0.1	0.32	0.64	1.26	2	2		0	93	7	100
OS	Oleander scale	3*	OS	7	15	0.1	0.32	0.64	1.26	2	2		86	9	8	103
OS	Oleander scale	crawler	OS	7	15	0.2	0.38	0.76	1.88	2	2		0	100	0	100
OS	Oleander scale	1*	OS	7	15	0.2	0.38	0.76	1.88	2	2		0	102	0	102
OS	Oleander scale	2*	OS	7	15	0.2	0.38	0.76	1.88	2	2		0	42	0	42
OS	Oleander scale	3*	OS	7	15	0.2	0.38	0.76	1.88	2	2		0	101	11	112
OS	Oleander scale	3* mature	OS	7	15	0.2	0.38	0.76	1.88	2	2		0	49	5	54
OS	Oleander scale	crawler	OS	7	15	0.3	0.4	0.8	2.5	2	2		0	100	0	100
OS	Oleander scale	1*	OS	7	15	0.3	0.4	0.8	2.5	2	2		0	97	3	100
OS	Oleander scale	2*	OS	7	15	0.3	0.4	0.8	2.5	2	2		0	94	7	101
OS	Oleander scale	3*	OS	7	15	0.3	0.4	0.8	2.5	2	2		0	56	44	100
OS	Oleander scale	3* mature	OS	7	15	0.3	0.4	0.8	2.5	2	2		0	3	0	3
OS	Oleander scale	crawler	OS	7	15	0.5	0.58	1.16	4.35	2	2		0	103	0	103
OS	Oleander scale	1*	OS	7	15	0.5	0.58	1.16	4.35	2	2		0	103	0	103
OS	Oleander scale	2*	OS	7	15	0.5	0.58	1.16	4.35	2	2		0	103	0	103
OS	Oleander scale	3*	OS	7	15	0.5	0.58	1.16	4.35	2	2		0	100	0	100
OS	Oleander scale	3* mature	OS	7	15	0.5	0.58	1.16	4.35	2	2		0	104	0	104
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	Control	0	0	0	2	2	104	251			355
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0	0	0	18.6	2	2	105	236			341
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0.5	0.58	1.16	4.35	2	2	161	246			407
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	1	1.08	2.16	8.3	2	2	163	409			572
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	1.5	1.62	3.24	12.4	2	2	256	110			366
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	2	2.06	4.12	16.8	2	2	505	15			520
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	2.5	2.5	5	21	2	2	629	0			629
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	Control	0	0	0	2	3		101	0	0	101
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0	0	0	21.6	2	3		106	0	0	106
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0.5	0.69	1.38	4.35	2	3		6	110	2	118
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1	1.14	2.28	7.9	2	3		0	105	3	108
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1.5	1.64	3.28	12	2	3		0	95	1	96
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	2	2.08	4.16	15.6	2	3		0	115	1	116
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	2.5	2.75	5.5	21.6	2	3		0	115	1	116
WAA	Wooly apple aphid	1*	WAA	1	15	Control	0	0	0	2	3		50	4	0	54
WAA	Wooly apple aphid	2*	WAA	1	15	Control	0	0	0	2	3		12	1	0	13
WAA	Wooly apple aphid	3*	WAA	1	15	Control	0	0	0	2	3		13	0	0	13
WAA	Wooly apple aphid	4*	WAA	1	15	Control	0	0	0	2	3		2	0	0	2
WAA	Wooly apple aphid	Adult	WAA	1	15	Control	0	0	0	2	3		8	0	0	8
WAA	Wooly apple aphid	1*	WAA	1	15	0	0	0	21.6	2	3		64	14	0	78
WAA	Wooly apple aphid	2*	WAA	1	15	0	0	0	21.6	2	3		18	3	0	21
WAA	Wooly apple aphid	3*	WAA	1	15	0	0	0	21.6	2	3		7	18	0	25
WAA	Wooly apple aphid	4*	WAA	1	15	0	0	0	21.6	2	3		6	4	0	10
WAA	Wooly apple aphid	1*	WAA	1	15	0.1	0.32	0.64	1.16	2	3		0	82	0	82
WAA	Wooly apple aphid	2*	WAA	1	15	0.1	0.32	0.64	1.16	2	3		0	14	0	14
WAA	Wooly apple aphid	3*	WAA	1	15	0.1	0.32	0.64	1.16	2	3		0	10	0	10
WAA	Wooly apple aphid	4*	WAA	1	15	0.1	0.32	0.64	1.16	2	3		0	6	0	6
WAA	Wooly apple aphid	1*	WAA	1	15	0.2	0.36	0.72	1.76	2	3		0	21	0	21
WAA	Wooly apple aphid	2*	WAA	1	15	0.2	0.36	0.72	1.76	2	3		0	29	0	29
WAA	Wooly apple aphid	3*	WAA	1	15	0.2	0.36	0.72	1.76	2	3		0	6	0	6
WAA	Wooly apple aphid	4*	WAA	1	15	0.2	0.36	0.72	1.76	2	3		0	9	0	9
WAA	Wooly apple aphid	1*	WAA	1	15	0.3	0.48	0.96	2.65	2	3		0	56	0	56
WAA	Wooly apple aphid	2*	WAA	1	15	0.3	0.48	0.96	2.65	2	3		0	19	0	19
WAA	Wooly apple aphid	3*	WAA	1	15	0.3	0.48	0.96	2.65	2	3		0	20	0	20
WAA	Wooly apple aphid	4*	WAA	1	15	0.3	0.48	0.96	2.65	2	3		0	5	0	5
WAA	Wooly apple aphid	1*	WAA	1	15	0.5	0.69	1.38	4.35	2	3		0	30	0	30
WAA	Wooly apple aphid	2*	WAA	1	15	0.5	0.69	1.38	4.35	2	3		0	30	1	31
